maille_safran,nb de feux
7907,53
7823,53
8085,53
7906,53
7991,52
8633,52
8174,52
8172,52
8083,52
7824,51
8084,51
8175,51
8173,51
8452,50
7742,50
8363,50
8276,50
8082,50
8456,49
8631,49
8186,49
8270,49
8274,49
8185,49
7908,49
8001,49
7741,48
7993,48
7992,48
8634,48
8541,48
8542,48
8184,48
8179,48
8176,48
8271,48
8181,48
7826,48
8632,48
8272,47
7825,47
8721,47
8183,47
8536,47
8451,47
7909,47
7999,47
8540,47
8538,47
7913,47
7994,47
7910,46
8547,46
8178,46
8814,46
8364,46
8636,46
7997,46
8089,46
7995,46
8539,46
8092,46
8088,46
8086,46
8269,45
8626,45
8546,45
8268,45
8726,45
8182,45
8727,45
8808,45
8177,45
8537,45
8635,45
8357,45
8358,45
8087,45
8090,45
8543,45
8273,45
8367,45
8449,45
8365,45
8366,45
8360,45
7998,45
8453,45
7743,45
8806,44
7828,44
7829,44
8896,44
8450,44
8455,44
8447,44
8717,44
8448,44
8265,44
8545,44
8544,44
8275,44
7996,44
8180,44
8368,43
8454,43
8362,43
8361,43
8637,43
8267,43
8091,43
7911,43
8627,43
7827,43
8812,42
8359,42
8722,42
8724,42
8725,42
8266,42
8810,42
7912,41
8723,41
8264,41
8355,41
8811,41
8716,40
8807,40
8356,40
8809,40
8805,40
8263,39
8893,38
8804,38
8629,38
8446,37
8718,37
8813,37
8815,36
8630,36
8720,36
8628,36
8894,35
8719,35
